# INPUT : tev01_wrbr_hfreb2_pca_5_23_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
  693308.42  692409.08  694207.76   1798.7     3.0925    0.3429      0.0100    0.0001     0     0.0100       0.0100
  695097.68  694217.52  695977.83   1760.3     3.3072    0.3486      0.0100    0.0001     0     0.0100       0.0100
  696929.01  696029.07  697828.95   1799.9     3.1056    0.3806      0.0100    0.0001     0     0.0100       0.0100
  698728.81  697829.21  699628.40   1799.2     3.5274    0.4195      0.0100    0.0001     0     0.0100       0.0100
  699693.64  699628.36  699758.91    130.6     4.8005    1.8622      0.0100    0.0001     0     0.0100       0.0100
  717037.06  716197.06  717877.06   1680.0     3.4989    0.1930      0.0100    0.0001     0     0.0100       0.0100
  718743.46  717903.46  719583.46   1680.0     4.3259    0.2105      0.0100    0.0001     0     0.0100       0.0100
  720451.58  719611.58  721291.58   1680.0     3.4716    0.2166      0.0100    0.0001     0     0.0100       0.0100
  722163.17  721323.17  723003.17   1680.0     4.7191    0.2463      0.0100    0.0001     0     0.0100       0.0100
  723952.51  723112.51  724792.51   1680.0     1.9979    0.1685      0.0100    0.0001     0     0.0100       0.0100
  725650.27  724810.27  726490.27   1680.0     6.5719    0.3387      0.0100    0.0001     0     0.0100       0.0100
  727348.90  726508.90  728188.90   1680.0     6.4520    0.3942      0.0100    0.0001     0     0.0100       0.0100
  729100.22  728260.22  729940.22   1680.0     5.6601    0.4934      0.0100    0.0001     0     0.0100       0.0100
  730797.98  729957.98  731637.98   1680.0     5.0820    0.6356      0.0100    0.0001     0     0.0100       0.0100
  803150.21  802310.21  803990.21   1680.0     2.5781    0.1624      0.0100    0.0001     0     0.0100       0.0100
  805689.50  804849.50  806529.50   1680.0     2.4562    0.1851      0.0100    0.0001     0     0.0100       0.0100
  807380.35  806540.35  808220.35   1680.0     2.7886    0.2066      0.0100    0.0001     0     0.0100       0.0100
  809072.93  808232.93  809912.93   1680.0     3.1229    0.2404      0.0100    0.0001     0     0.0100       0.0100
  810834.62  809994.62  811674.62   1680.0     3.5305    0.2740      0.0100    0.0001     0     0.0100       0.0100
  861233.21  860337.29  862129.14   1791.8     2.8816    0.9716      0.0100    0.0001     0     0.0100       0.0100
  863167.02  862305.05  864028.99   1723.9     3.1643    0.4687      0.0100    0.0001     0     0.0100       0.0100
  865027.47  864128.00  865926.93   1798.9     3.4334    0.3560      0.0100    0.0001     0     0.0100       0.0100
  866825.71  865926.07  867725.35   1799.3     3.4843    0.3795      0.0100    0.0001     0     0.0100       0.0100
  868627.24  867724.31  869530.16   1805.8     3.6065    0.3915      0.0100    0.0001     0     0.0100       0.0100
  870428.59  869521.09  871336.09   1815.0     3.9768    0.3774      0.0100    0.0001     0     0.0100       0.0100
  872054.38  871533.65  872575.12   1041.5     2.8436    0.6514      0.0100    0.0001     0     0.0100       0.0100
  885034.94  884194.94  885874.94   1680.0     2.0454    0.1791      0.0100    0.0001     0     0.0100       0.0100
  886189.25  885349.25  887029.25   1680.0     2.7683    0.2998      0.0100    0.0001     0     0.0100       0.0100
  889072.42  888232.42  889912.42   1680.0     2.1998    0.1868      0.0100    0.0001     0     0.0100       0.0100
  890226.72  889386.72  891066.72   1680.0     1.1070    0.2917      0.0100    0.0001     0     0.0100       0.0100
  953073.99  952174.05  953973.93   1799.9     0.9666    0.3943      0.0100    0.0001     0     0.0100       0.0100
  954871.55  953972.34  955770.76   1798.4     0.9893    0.3410      0.0100    0.0001     0     0.0100       0.0100
  956670.05  955770.06  957570.03   1800.0     1.1572    0.3709      0.0100    0.0001     0     0.0100       0.0100
  958468.90  957569.39  959368.41   1799.0     1.7895    0.4086      0.0100    0.0001     0     0.0100       0.0100
  959519.95  959367.93  959671.97    304.0     1.0840    0.9618      0.0100    0.0001     0     0.0100       0.0100
  981392.54  980552.54  982232.54   1680.0     1.2461    0.1845      0.0100    0.0001     0     0.0100       0.0100
 1041294.10 1040394.07 1042194.13   1800.1     1.9459    0.3484      0.0100    0.0001     0     0.0100       0.0100
 1043094.15 1042194.30 1043994.01   1799.7     2.3672    0.3675      0.0100    0.0001     0     0.0100       0.0100
 1065544.42 1064704.42 1066384.42   1680.0     2.0108    0.3953      0.0100    0.0001     0     0.0100       0.0100
 1066156.99 1065316.99 1066996.99   1680.0     1.7947    0.3921      0.0100    0.0001     0     0.0100       0.0100
 1154632.32 1153792.32 1155472.32   1680.0     1.1894    0.2019      0.0100    0.0001     0     0.0100       0.0100
